schema_name,table_name,constraint_name,constraint_type,condeferrable,condeferred,definition
public,notice_posts,notice_posts_category_check,c,f,f,"CHECK (category = ANY (ARRAY['rideshare'::text, 'lost_found'::text, 'looking_for'::text, 'giving_away'::text, 'shoutout'::text]))"
public,notice_posts,notice_posts_event_id_fkey,f,f,f,FOREIGN KEY (event_id) REFERENCES events(id) ON DELETE CASCADE
public,notice_posts,notice_posts_pkey,p,f,f,PRIMARY KEY (id)
public,notice_posts,notice_posts_profile_id_fkey,f,f,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,notice_reactions,notice_reactions_emoji_check,c,f,f,"CHECK (emoji = ANY (ARRAY['❤️'::text, '🙏'::text, '🔥'::text, '😂'::text, '🫂'::text]))"
public,notice_reactions,notice_reactions_pkey,p,f,f,PRIMARY KEY (id)
public,notice_reactions,notice_reactions_post_id_fkey,f,f,f,FOREIGN KEY (post_id) REFERENCES notice_posts(id) ON DELETE CASCADE
public,notice_reactions,notice_reactions_post_id_profile_id_emoji_key,u,f,f,"UNIQUE (post_id, profile_id, emoji)"
public,notice_reactions,notice_reactions_profile_id_fkey,f,f,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,profiles,bio_length,c,f,f,CHECK (bio IS NULL OR char_length(bio) <= 500)
public,profiles,display_name_length,c,f,f,CHECK (char_length(display_name) >= 1 AND char_length(display_name) <= 100)
public,profiles,handle_format,c,f,f,CHECK (handle ~ '^[a-zA-Z0-9_]+$'::text)
public,profiles,handle_length,c,f,f,CHECK (char_length(handle) >= 3 AND char_length(handle) <= 30)
public,profiles,location_length,c,f,f,CHECK (location IS NULL OR char_length(location) <= 100)
public,profiles,profiles_handle_key,u,f,f,UNIQUE (handle)
public,profiles,profiles_pkey,p,f,f,PRIMARY KEY (id)
public,profiles,profiles_user_id_fkey,f,f,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
public,reserved_handles,reserved_handles_handle_key,u,f,f,UNIQUE (handle)
public,reserved_handles,reserved_handles_pkey,p,f,f,PRIMARY KEY (id)
public,reserved_handles,rh_handle_format,c,f,f,CHECK (handle ~ '^[a-zA-Z0-9_]+$'::text)
public,reserved_handles,rh_handle_length,c,f,f,CHECK (char_length(handle) >= 3 AND char_length(handle) <= 30)
public,users,users_id_fkey,f,f,f,FOREIGN KEY (id) REFERENCES auth.users(id) ON DELETE CASCADE
public,users,users_pkey,p,f,f,PRIMARY KEY (id)
public,vendor_events,vendor_events_event_id_fkey,f,f,f,FOREIGN KEY (event_id) REFERENCES events(id) ON DELETE CASCADE
public,vendor_events,vendor_events_pkey,p,f,f,PRIMARY KEY (id)
public,vendor_events,vendor_events_profile_id_event_id_key,u,f,f,"UNIQUE (profile_id, event_id)"
public,vendor_events,vendor_events_profile_id_fkey,f,f,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
public,vendor_events,vendor_events_role_check,c,f,f,"CHECK (role = ANY (ARRAY['attending'::text, 'selling'::text]))"
storage,buckets,buckets_pkey,p,f,f,PRIMARY KEY (id)
storage,buckets_analytics,buckets_analytics_pkey,p,f,f,PRIMARY KEY (id)
storage,buckets_vectors,buckets_vectors_pkey,p,f,f,PRIMARY KEY (id)
storage,migrations,migrations_name_key,u,f,f,UNIQUE (name)
storage,migrations,migrations_pkey,p,f,f,PRIMARY KEY (id)
storage,objects,objects_bucketId_fkey,f,f,f,FOREIGN KEY (bucket_id) REFERENCES storage.buckets(id)
storage,objects,objects_pkey,p,f,f,PRIMARY KEY (id)
storage,s3_multipart_uploads,s3_multipart_uploads_bucket_id_fkey,f,f,f,FOREIGN KEY (bucket_id) REFERENCES storage.buckets(id)
storage,s3_multipart_uploads,s3_multipart_uploads_pkey,p,f,f,PRIMARY KEY (id)
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_bucket_id_fkey,f,f,f,FOREIGN KEY (bucket_id) REFERENCES storage.buckets(id)
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_pkey,p,f,f,PRIMARY KEY (id)
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_upload_id_fkey,f,f,f,FOREIGN KEY (upload_id) REFERENCES storage.s3_multipart_uploads(id) ON DELETE CASCADE
storage,vector_indexes,vector_indexes_bucket_id_fkey,f,f,f,FOREIGN KEY (bucket_id) REFERENCES storage.buckets_vectors(id)
storage,vector_indexes,vector_indexes_pkey,p,f,f,PRIMARY KEY (id)
